# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Yaw,Pitch,Roll,Error_(m),X_error,Y_error,Z_error,Error_(deg),Yaw_error,Pitch_error,Roll_error,X_est,Y_est,Z_est,Yaw_est,Pitch_est,Roll_est
DJI_0036.JPG,-88.049542,41.814288,203.769000,,,,1.966833,-0.130110,-0.058472,1.961654,,,,,-88.049544,41.814288,205.730654,157.665163,75.126125,2.130790
DJI_0036.JPG,-88.049542,41.814288,203.769000,,,,1.966833,-0.130110,-0.058472,1.961654,,,,,-88.049544,41.814288,205.730654,157.665163,75.126125,2.130790
DJI_0037.JPG,-88.049522,41.814299,203.769000,,,,1.984958,-0.094716,0.000097,1.982697,,,,,-88.049523,41.814299,205.751697,160.125952,77.090937,2.920259
DJI_0037.JPG,-88.049522,41.814299,203.769000,,,,1.984958,-0.094716,0.000097,1.982697,,,,,-88.049523,41.814299,205.751697,160.125952,77.090937,2.920259
DJI_0038.JPG,-88.049499,41.814307,203.769000,,,,1.900441,-0.122828,-0.061130,1.895482,,,,,-88.049501,41.814307,205.664482,164.089414,76.984163,2.803454
DJI_0038.JPG,-88.049499,41.814307,203.769000,,,,1.900441,-0.122828,-0.061130,1.895482,,,,,-88.049501,41.814307,205.664482,164.089414,76.984163,2.803454
DJI_0039.JPG,-88.049473,41.814309,203.669000,,,,2.110749,-0.162543,0.040236,2.104097,,,,,-88.049475,41.814309,205.773097,170.492454,76.895539,2.448395
DJI_0039.JPG,-88.049473,41.814309,203.669000,,,,2.110749,-0.162543,0.040236,2.104097,,,,,-88.049475,41.814309,205.773097,170.492454,76.895539,2.448395
DJI_0040.JPG,-88.049448,41.814312,203.769000,,,,2.186834,0.011537,0.132129,2.182809,,,,,-88.049448,41.814313,205.951809,175.502201,76.789795,2.610198
DJI_0040.JPG,-88.049448,41.814312,203.769000,,,,2.186834,0.011537,0.132129,2.182809,,,,,-88.049448,41.814313,205.951809,175.502201,76.789795,2.610198
DJI_0041.JPG,-88.049415,41.814317,203.769000,,,,2.221258,-0.172250,0.049305,2.214020,,,,,-88.049417,41.814317,205.983020,180.176899,76.680651,2.409803
DJI_0041.JPG,-88.049415,41.814317,203.769000,,,,2.221258,-0.172250,0.049305,2.214020,,,,,-88.049417,41.814317,205.983020,180.176899,76.680651,2.409803
DJI_0042.JPG,-88.049384,41.814316,203.369000,,,,2.156937,-0.493925,-0.019710,2.099530,,,,,-88.049390,41.814316,205.468530,185.721196,76.793687,2.324850
DJI_0042.JPG,-88.049384,41.814316,203.369000,,,,2.156937,-0.493925,-0.019710,2.099530,,,,,-88.049390,41.814316,205.468530,185.721196,76.793687,2.324850
DJI_0043.JPG,-88.049357,41.814307,201.869000,,,,2.056643,-0.337073,0.004487,2.028828,,,,,-88.049361,41.814307,203.897828,188.558785,81.143708,3.671571
DJI_0043.JPG,-88.049357,41.814307,201.869000,,,,2.056643,-0.337073,0.004487,2.028828,,,,,-88.049361,41.814307,203.897828,188.558785,81.143708,3.671571
DJI_0044.JPG,-88.049329,41.814299,200.469000,,,,1.623342,0.020163,-0.067862,1.621797,,,,,-88.049329,41.814299,202.090797,196.119199,81.591133,2.385185
DJI_0044.JPG,-88.049329,41.814299,200.469000,,,,1.623342,0.020163,-0.067862,1.621797,,,,,-88.049329,41.814299,202.090797,196.119199,81.591133,2.385185
DJI_0045.JPG,-88.049292,41.814286,198.369000,,,,1.912095,0.037051,0.071899,1.910383,,,,,-88.049292,41.814287,200.279383,205.453327,88.109380,0.000000
DJI_0045.JPG,-88.049292,41.814286,198.369000,,,,1.912095,0.037051,0.071899,1.910383,,,,,-88.049292,41.814287,200.279383,205.453327,88.109380,0.000000
DJI_0046.JPG,-88.049266,41.814277,197.069000,,,,2.272546,-0.194181,0.170212,2.257828,,,,,-88.049268,41.814279,199.326828,23.993076,87.378481,177.850337
DJI_0046.JPG,-88.049266,41.814277,197.069000,,,,2.272546,-0.194181,0.170212,2.257828,,,,,-88.049268,41.814279,199.326828,23.993076,87.378481,177.850337
DJI_0047.JPG,-88.049266,41.814252,196.669000,,,,2.305030,-0.232966,0.040201,2.292874,,,,,-88.049269,41.814252,198.961874,211.283233,87.663064,0.000000
DJI_0047.JPG,-88.049266,41.814252,196.669000,,,,2.305030,-0.232966,0.040201,2.292874,,,,,-88.049269,41.814252,198.961874,211.283233,87.663064,0.000000
DJI_0048.JPG,-88.049270,41.814227,196.669000,,,,2.183634,-0.019396,-0.040278,2.183176,,,,,-88.049270,41.814227,198.852176,214.377088,89.196304,0.000000
DJI_0048.JPG,-88.049270,41.814227,196.669000,,,,2.183634,-0.019396,-0.040278,2.183176,,,,,-88.049270,41.814227,198.852176,214.377088,89.196304,0.000000
DJI_0049.JPG,-88.049258,41.814211,196.669000,,,,2.203102,-0.016741,0.231234,2.190869,,,,,-88.049258,41.814214,198.859869,220.926350,89.312432,0.000000
DJI_0049.JPG,-88.049258,41.814211,196.669000,,,,2.203102,-0.016741,0.231234,2.190869,,,,,-88.049258,41.814214,198.859869,220.926350,89.312432,0.000000
DJI_0050.JPG,-88.049268,41.814187,196.669000,,,,2.195826,-0.194321,-0.386611,2.152771,,,,,-88.049270,41.814184,198.821771,227.211865,89.330225,0.000000
DJI_0050.JPG,-88.049268,41.814187,196.669000,,,,2.195826,-0.194321,-0.386611,2.152771,,,,,-88.049270,41.814184,198.821771,227.211865,89.330225,0.000000
DJI_0051.JPG,-88.049281,41.814145,196.669000,,,,2.024768,-0.056303,-0.298950,2.001785,,,,,-88.049282,41.814142,198.670785,229.938369,86.658193,-5.483262
DJI_0051.JPG,-88.049281,41.814145,196.669000,,,,2.024768,-0.056303,-0.298950,2.001785,,,,,-88.049282,41.814142,198.670785,229.938369,86.658193,-5.483262
DJI_0052.JPG,-88.049283,41.814126,196.669000,,,,1.964388,-0.084243,-0.183250,1.954007,,,,,-88.049284,41.814124,198.623007,234.081442,86.688430,-5.828142
DJI_0052.JPG,-88.049283,41.814126,196.669000,,,,1.964388,-0.084243,-0.183250,1.954007,,,,,-88.049284,41.814124,198.623007,234.081442,86.688430,-5.828142
DJI_0053.JPG,-88.049288,41.814102,196.669000,,,,1.898042,-0.016065,0.037899,1.897595,,,,,-88.049288,41.814102,198.566595,243.879447,86.800947,-14.360003
DJI_0053.JPG,-88.049288,41.814102,196.669000,,,,1.898042,-0.016065,0.037899,1.897595,,,,,-88.049288,41.814102,198.566595,243.879447,86.800947,-14.360003
DJI_0054.JPG,-88.049289,41.814083,196.769000,,,,1.887075,0.032686,-0.165673,1.879505,,,,,-88.049288,41.814082,198.648505,248.377119,86.803762,-11.761403
DJI_0054.JPG,-88.049289,41.814083,196.769000,,,,1.887075,0.032686,-0.165673,1.879505,,,,,-88.049288,41.814082,198.648505,248.377119,86.803762,-11.761403
DJI_0055.JPG,-88.049290,41.814071,196.769000,,,,2.006538,0.004113,-0.531671,1.934814,,,,,-88.049290,41.814066,198.703814,252.178120,86.810017,-11.937132
DJI_0055.JPG,-88.049290,41.814071,196.769000,,,,2.006538,0.004113,-0.531671,1.934814,,,,,-88.049290,41.814066,198.703814,252.178120,86.810017,-11.937132
DJI_0056.JPG,-88.049293,41.814052,196.769000,,,,2.006771,-0.030863,-0.732331,1.868120,,,,,-88.049293,41.814046,198.637120,255.470336,86.851994,-11.807515
